"","geneID","EE_0-SRS004859","EE_30-SRS269390","EE_60-SRS269389","EE-210-SRS174229","EE-240-SRS001790","EE-300-SRS150938","EE-330-SRS001791","EE-360-SRS004864","EE-390-SRS003000","EE-420-SRS174140","EE-450-SRS001789","EE-480-SRS178501","EE-510-SRS266278","EE-540-SRS266272","EE-570-SRS266261","EE-600-SRS266262","EE-630-SRS266263","EE-660-SRS266264","EE-690-SRS266273","EE-720-SRS266279","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"11","WBGene00000626",0,0,0,0.126826258489036,0.0694908150862614,0,0,0,0,0,0,0,0,0,0.0723249121460252,0,0,0.0781576827341277,0.0474812006495238,0,"col-49","K09H9.3","Cuticle collagen 49","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat","Cbr-col-49 | WBGene00026909",84.4523,"CBN31034 | WBGene00192999",75.6184,NA,NA,NA,NA
"12","WBGene00000638",0,0,0,0.0634131292445182,0,0,0,0.0526827533102681,0,0,0.0629105265730604,0,0.0860107660535977,0.036055281110768,0.0723249121460252,0.042715950165693,0,0,0,0,"col-62","C15A11.6","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat","CBG11934 | WBGene00032962",82.9114,"CBN21801 | WBGene00160526",85.1266,"CRE24133 | WBGene00067649",82.5949,"Cjp-col-80 | WBGene00128444",74.0506
"13","WBGene00000670",0,0,0,0.126826258489036,0.138981630172523,0,0.108388858687538,0,0,0,0,0,0,0,0,0,0,0.0390788413670638,0.189924802598095,0,"col-95","Y41C4A.16","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat",NA,NA,"Cbn-col-95 | WBGene00164477",90.2913,"Cre-col-95 | WBGene00063067",89.9676,"Cjp-col-95 | WBGene00131166",84.1424
"14","WBGene00000676",0,0,0.103915251293316,0,0,0,0,0.0526827533102681,0.113923853068761,0,0,0,0,0.0721105622215361,0,0,0,0.0781576827341277,0,0.12041889881493,"col-102","C18H7.3","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat","Cbr-col-102 | WBGene00040090",65.4348,"CBN31452 | WBGene00193417",63.2609,"Cre-col-102 | WBGene00068322",75,"Cjp-col-102 | WBGene00123818",61.7391
"15","WBGene00000700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0,0,0.0802792658766197,"col-126","F54D1.2","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal","Cbr-col-126 | WBGene00028389",92.1769,"CBN08239 | WBGene00146964",92.8571,"CRE12586 | WBGene00062557",95.2381,"CJA08352 | WBGene00127556",81.9728
"16","WBGene00000701",0,0.103070065587606,0,0.126826258489036,0.0694908150862614,0,0,0,0,0,0,0,0,0,0.0361624560730126,0,0,0,0.0949624012990477,0.321117063506479,"col-127","F54D1.3","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal","Cbr-col-126 | WBGene00028389",92.1769,"CBN08239 | WBGene00146964",92.8571,"CRE12586 | WBGene00062557",95.2381,"CJA08352 | WBGene00127556",81.9728
"17","WBGene00000710",0,0,0,0.0634131292445182,0.555926520690091,0,0,0,0,0,0,0,0,0,0,0,0.13812972218038,0,0,0,"col-137","Y51H4A.9","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat",NA,NA,"Cbn-col-78 | WBGene00190183",32.1937,NA,NA,"Cjp-col-81 | WBGene00119603",42.735
"18","WBGene00000758",0,0,0.103915251293316,0,0.138981630172523,0,0,0,0,0,0,0.0729398273412171,0.0860107660535977,0,0,0,0,0,0,0.0401396329383098,"col-185","H06A10.2","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat","Cbr-col-44 | WBGene00029471",83.9344,"Cbn-col-44 | WBGene00140660",84.2623,"Cre-col-185 | WBGene00065260",89.1803,"CJA07285 | WBGene00126489",83.2787
"19","WBGene00000859",0,0.103070065587606,0,0.126826258489036,0.0694908150862614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cwp-1","C37H5.10","Coexpressed With Polycystins","",NA,NA,NA,NA,NA,NA,NA,NA
"20","WBGene00001424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0,0,0,"fis-1","F41G3.4","Mitochondrial fission 1 protein","Tetratricopeptide-like helical domain superfamily, Mitochondria fission 1 protein, Fis1, N-terminal tetratricopeptide repeat, Fis1, C-terminal tetratricopeptide repeat, Mitochondria fission protein Fis1, cytosolic domain","Cbr-fis-1 | WBGene00032315",66.4336,"Cbn-fis-1.2 | WBGene00152276",73.4266,"Cre-fis-1 | WBGene00054168",79.7203,"Cjp-fis-1 | WBGene00137594",75.5245
"21","WBGene00001507",0,0,0,0,0,0,0,0,0,0,0,0,0.0430053830267988,0.0721105622215361,0.0361624560730126,0,0,0.234473048202383,0,0.160558531753239,"fut-4","K12H6.3","Fucosyltransferase","Glycosyl transferase family 10, Fucosyltransferase, N-terminal, GT10-like, C-terminal domain superfamily","Cbr-fut-4 | WBGene00038777",54.9738,NA,NA,"Cre-fut-4 | WBGene00054606",49.7382,NA,NA
"22","WBGene00001641",0.0603225246327783,0,0.103915251293316,0.253652516978073,0.138981630172523,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0,0,0,"gly-16","T15D6.2","GLY-16; GLYcosylation related","Glycosyl transferase, family 14","Cbr-gly-18 | WBGene00039444",63.5714,"CBN30858 | WBGene00192823",24.0476,"CRE07851 | WBGene00069898",34.0476,"CJA03120 | WBGene00122324",59.0476
"23","WBGene00001642",0,0,0,0,0.347454075431307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gly-17","T15D6.3","GLYcosylation related","Glycosyl transferase, family 14","Cbr-gly-18 | WBGene00039444",60.1023,"CBN30858 | WBGene00192823",18.1586,"CRE07851 | WBGene00069898",26.5985,"CJA03120 | WBGene00122324",55.243
"24","WBGene00001737",0,0,0,0,0.138981630172523,0,0,0,0,0,0,0,0.0860107660535977,0,0,0,0.0690648610901902,0,0,0.0401396329383098,"grl-28","T24A6.15","Ground-like domain-containing protein","Ground-like domain",NA,NA,NA,NA,NA,NA,NA,NA
"25","WBGene00001785",0,0.103070065587606,0.103915251293316,0.126826258489036,0.138981630172523,0.048212685827963,0,0,0,0,0,0,0,0.0721105622215361,0,0,0.0690648610901902,0,0,0.280977430568169,"gst-37","Y32G9A.1","Glutathione S-Transferase","Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal, Glutathione S-transferase, C-terminal-like, Thioredoxin-like superfamily, Glutathione S-transferase, C-terminal domain superfamily","Cbr-gst-39 | WBGene00039593",74.1627,"Cbn-gst-39.1 | WBGene00154128",73.2057,"Cre-gst-39 | WBGene00057528",73.2057,"CJA16202 | WBGene00135406",64.5933
"26","WBGene00001789",0,0,0,0,0,0,0,0,0.113923853068761,0,0,0,0,0,0.0723249121460252,0,0.0690648610901902,0.156315365468255,0,0.0802792658766197,"gst-41","R13D7.7","Glutathione S-Transferase","Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal, Glutathione S-transferase, C-terminal-like, Thioredoxin-like superfamily, Glutathione S-transferase, C-terminal domain superfamily, Glutathione transferase family","CBG01287 | WBGene00024547",69.0476,"CBN30082 | WBGene00192047",55.2381,"CRE08771 | WBGene00080998",61.9048,"CJA03641 | WBGene00122845",61.4286
"27","WBGene00001859",0,0,0,0.0634131292445182,0,0,0,0,0,0,0,0.0364699136706086,0,0.036055281110768,0,0,0,0,0.0949624012990477,0.12041889881493,"hil-8","T05E8.2","H15 domain-containing protein","Linker histone H1/H5, domain H15, Winged helix-like DNA-binding domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"28","WBGene00001883",0,0,0,0.317065646222591,0,0,0,0,0.0569619265343806,0.048893854766085,0,0,0,0,0,0,0,0,0,0,"his-9","ZK131.3","Histone H3","Histone H3/CENP-A, Histone H2A/H2B/H3, Histone-fold",NA,NA,NA,NA,"CRE12684 | WBGene00068702",98.5294,"CJA14435 | WBGene00133639",97.7941
"29","WBGene00001884",0.0603225246327783,0,0.0519576256466581,0.253652516978073,0,0,0,0,0.170885779603142,0,0,0,0,0,0,0,0,0,0,0,"his-10","ZK131.4","Histone H4","Histone H4, Histone-fold, Histone H4, conserved site, CENP-T/Histone H4, histone fold",NA,NA,"Cbn-his-10.2 | WBGene00184976",100,"Cre-his-56 | WBGene00068703",100,NA,NA
"30","WBGene00001887",0,0,0,0.443891904711627,0,0,0,0,0.113923853068761,0.0977877095321699,0,0,0,0,0,0,0,0,0,0,"his-13","ZK131.7","Histone H3","Histone H3/CENP-A, Histone H2A/H2B/H3, Histone-fold",NA,NA,NA,NA,"CRE12684 | WBGene00068702",98.5294,"CJA14435 | WBGene00133639",97.7941
"31","WBGene00001888",0.0301612623163892,0,0.0519576256466581,0.190239387733555,0,0,0,0,0.170885779603142,0,0,0,0,0,0,0,0,0,0,0,"his-14","ZK131.8","Histone H4","Histone H4, Histone-fold, Histone H4, conserved site, CENP-T/Histone H4, histone fold",NA,NA,NA,NA,"CRE27088 | WBGene00052490",100,"Cjp-his-1 | WBGene00178934",100
"32","WBGene00001893",0,0,0,0.190239387733555,0,0,0,0,0,0,0.0314552632865302,0,0,0,0,0,0,0,0,0,"his-19","K06C4.11","Histone H2A","Histone H2A, Histone H2A/H2B/H3, Histone-fold, Histone H2A, C-terminal domain, Histone H2A conserved site",NA,NA,"CBN08428 | WBGene00147153",100,"CRE05544 | WBGene00053105",100,NA,NA
"33","WBGene00001894",0,0,0,0,0,0,0.0541944293437689,0,0,0,0,0,0,0,0,0,0,0,0,0,"his-20","K06C4.4","Histone H2B 2","Histone H2B, Histone H2A/H2B/H3, Histone-fold","CBG10818 | WBGene00032089",97.561,NA,NA,"CRE08032 | WBGene00080028",97.561,"CJA33497 | WBGene00209344",94.3089
"34","WBGene00001895",0,0,0,0.190239387733555,0,0,0,0,0,0.146681564298255,0,0,0,0,0,0,0,0,0,0,"his-21","K06C4.3","Histone H2A","Histone H2A, Histone H2A/H2B/H3, Histone-fold, Histone H2A, C-terminal domain, Histone H2A conserved site",NA,NA,"CBN23398 | WBGene00162123",100,NA,NA,NA,NA
"35","WBGene00001896",0,0,0.0519576256466581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"his-22","K06C4.12","Histone H2B 2","Histone H2B, Histone H2A/H2B/H3, Histone-fold","CBG10818 | WBGene00032089",97.561,NA,NA,"CRE08032 | WBGene00080028",97.561,"CJA33497 | WBGene00209344",94.3089
"36","WBGene00001904",0,0,0.103915251293316,0.190239387733555,0,0.0964253716559259,0,0,0.227847706137522,0.0977877095321699,0,0,0,0,0,0,0,0,0,0,"his-30","F35H10.1","Histone H2A","Histone H2A, Histone H2A/H2B/H3, Histone-fold, Histone H2A, C-terminal domain, Histone H2A conserved site",NA,NA,NA,NA,NA,NA,"CJA34110 | WBGene00209957",99.2126
"37","WBGene00001924",0,0,0.0519576256466581,0.0634131292445182,0.0694908150862614,0,0,0,0.0569619265343806,0,0,0,0,0,0,0,0,0,0,0,"his-50","F07B7.9","Histone H4","Histone H4, Histone-fold, Histone H4, conserved site, CENP-T/Histone H4, histone fold",NA,NA,"CBN00386 | WBGene00139111",100,NA,NA,"CJA39026 | WBGene00214873",100
"38","WBGene00001925",0,0,0,0.0634131292445182,0,0,0.0541944293437689,0,0.170885779603142,0.146681564298255,0,0,0,0,0,0,0,0,0,0,"his-51","F07B7.10","Histone H2A","Histone H2A, Histone H2A/H2B/H3, Histone-fold, Histone H2A, C-terminal domain, Histone H2A conserved site",NA,NA,"CBN01815 | WBGene00140540",99.2126,"CRE13843 | WBGene00074706",100,NA,NA
"39","WBGene00001926",0,0,0.0519576256466581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"his-52","F07B7.4","Histone H2B 2","Histone H2B, Histone H2A/H2B/H3, Histone-fold","CBG10818 | WBGene00032089",97.561,NA,NA,"CRE08032 | WBGene00080028",97.561,"CJA33497 | WBGene00209344",94.3089
"40","WBGene00001927",0,0,0,0.190239387733555,0,0,0,0,0,0,0.0314552632865302,0,0,0,0,0,0,0,0,0,"his-53","F07B7.3","Histone H2A","Histone H2A, Histone H2A/H2B/H3, Histone-fold, Histone H2A, C-terminal domain, Histone H2A conserved site",NA,NA,NA,NA,NA,NA,NA,NA
"41","WBGene00001928",0,0,0,0,0,0,0.0541944293437689,0,0,0,0,0,0,0,0,0,0,0,0,0,"his-54","F07B7.11","Histone H2B 2","Histone H2B, Histone H2A/H2B/H3, Histone-fold","CBG10818 | WBGene00032089",97.561,NA,NA,"CRE08032 | WBGene00080028",97.561,"CJA33497 | WBGene00209344",94.3089
"42","WBGene00001944",0,0,0,0,0.138981630172523,0.0964253716559259,0,0,0,0.0977877095321699,0.0629105265730604,0,0,0,0,0,0.0690648610901902,0,0,0.0401396329383098,"his-70","E03A3.4","Histone H3.3-like type 1","Histone H3/CENP-A, Histone H2A/H2B/H3, Histone-fold",NA,NA,"CBN26317 | WBGene00184988",75.3731,NA,NA,"CJA14435 | WBGene00133639",79.1045
"43","WBGene00002015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390788413670638,0,0.0802792658766197,"hsp-16.1","T27E4.8","Heat shock protein Hsp-16.1/Hsp-16.11","Alpha crystallin/Small heat shock protein, animal type, Alpha crystallin/Hsp20 domain, HSP20-like chaperone","CBG04608 | WBGene00027247",73.7931,"CBN05402 | WBGene00144127",80,"CRE19380 | WBGene00068604",68.2759,"CJA32286 | WBGene00208133",33.7931
"44","WBGene00002017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854319003313861,0.0690648610901902,0.0390788413670638,0,0,"hsp-16.11","T27E4.2","Heat shock protein Hsp-16.1/Hsp-16.11","Alpha crystallin/Small heat shock protein, animal type, Alpha crystallin/Hsp20 domain, HSP20-like chaperone","CBG04608 | WBGene00027247",73.7931,"CBN05402 | WBGene00144127",80,"CRE19380 | WBGene00068604",68.2759,"CJA32286 | WBGene00208133",33.7931
"45","WBGene00002019",0,0,0,0,0.764398965948875,0,0,0,0,0.0977877095321699,0,0,0,0,0,0,0.0690648610901902,0,0,0,"hsp-16.48","T27E4.3","Heat shock protein Hsp-16.48/Hsp-16.49","Alpha crystallin/Small heat shock protein, animal type, Alpha crystallin/Hsp20 domain, HSP20-like chaperone","CBG19185 | WBGene00038448",86.014,"CBN16878 | WBGene00155603",83.9161,"CRE27471 | WBGene00052625",88.8112,"CJA05619 | WBGene00124823",73.4266
"46","WBGene00002020",0.0904837869491675,0,0.0519576256466581,0,0.138981630172523,0,0,0.0526827533102681,0,0,0,0.0364699136706086,0.0430053830267988,0,0.0723249121460252,0,0,0,0,0,"hsp-16.49","T27E4.9","Heat shock protein Hsp-16.48/Hsp-16.49","Alpha crystallin/Small heat shock protein, animal type, Alpha crystallin/Hsp20 domain, HSP20-like chaperone","CBG19185 | WBGene00038448",86.014,"CBN16878 | WBGene00155603",83.9161,"CRE27471 | WBGene00052625",88.8112,"CJA05619 | WBGene00124823",73.4266
"47","WBGene00002092",0,0,0,0,0.208472445258784,0,0,0,0,0,0,0,0,0,0,0,0,0.156315365468255,0.0949624012990477,0,"ins-9","C06E2.8","INSulin related","Nematode insulin-like peptide, beta type, Insulin, conserved site, Insulin-like superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"48","WBGene00002095",0,0,0,0,0.0694908150862614,0.0964253716559259,0,0,0,0,0.0629105265730604,0,0.0860107660535977,0.036055281110768,0.253137192511088,0,0,0.0781576827341277,0,0,"ins-12","C17C3.19","INSulin related","Insulin-like superfamily","Cbr-ins-12 | WBGene00025491",51.1628,NA,NA,"Cre-ins-12 | WBGene00057335",60.4651,"Cjp-ins-12 | WBGene00208372",38.3721
"49","WBGene00002098",0,0,0,0,0,0,0,0,0.113923853068761,0.0977877095321699,0,0,0,0,0,0,0,0,0.0474812006495238,0.12041889881493,"ins-15","F41G3.17","INSulin related","Nematode insulin-like peptide, beta type, Insulin-like superfamily","Cbr-ins-15 | WBGene00032308",39.4737,NA,NA,"Cre-ins-15 | WBGene00054159",45.614,"Cjp-ins-15 | WBGene00127335",37.7193
"50","WBGene00002099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ins-16","Y39A3A.5","INSulin related","Insulin-like superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"51","WBGene00002103",0,0,0,0.126826258489036,0.138981630172523,0,0,0,0.113923853068761,0,0.0629105265730604,0,0,0,0,0,0,0.0781576827341277,0,0.0802792658766197,"ins-20","ZK84.7","INSulin related","Nematode insulin-like peptide, beta type","CBG07124 | WBGene00029278",33.0189,NA,NA,"Cre-ins-20 | WBGene00084766",32.0755,NA,NA
"52","WBGene00002104",0,0,0,0,0.138981630172523,0,0,0,0,0,0,0,0.0430053830267988,0,0,0,0,0.0781576827341277,0,0.12041889881493,"ins-21","M04D8.1","Probable insulin-like peptide alpha-type 1","","Cbr-ins-21 | WBGene00087309",53.9474,NA,NA,"Cre-ins-21 | WBGene00054969",60.5263,NA,NA
"53","WBGene00002108",0,0,0,0,0,0,0.0541944293437689,0,0,0,0.0314552632865302,0,0,0,0.0361624560730126,0.042715950165693,0.103597291635285,0.117236524101192,0.0474812006495238,0.0401396329383098,"ins-25","ZC334.8","INSulin related","Nematode insulin-like peptide, beta type, Insulin-like superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"54","WBGene00002109",0.180967573898335,0,0.207830502586632,0,0,0,0,0,0,0.0977877095321699,0,0,0,0,0,0.042715950165693,0.0690648610901902,0.0390788413670638,0.0949624012990477,0.240837797629859,"ins-26","ZC334.1","INSulin related","Nematode insulin-like peptide, beta type",NA,NA,NA,NA,NA,NA,NA,NA
"55","WBGene00002112",0,0,0,0,0.0694908150862614,0.048212685827963,0,0,0.113923853068761,0,0.0629105265730604,0.109409741011826,0,0,0.0723249121460252,0.128147850497079,0.0345324305450951,0,0,0.0401396329383098,"ins-29","ZC334.10","INSulin related","Nematode insulin-like peptide, beta type, Insulin-like superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"56","WBGene00002115",0,0,0.103915251293316,0,0.138981630172523,0.0964253716559259,0,0.105365506620536,0,0,0,0,0,0,0,0,0.0345324305450951,0,0,0.0802792658766197,"ins-32","Y8A9A.6","INSulin related","Nematode insulin-like peptide, beta type, Insulin-like superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"57","WBGene00002204",0,0.103070065587606,0,0,0.48643570560383,0,0.108388858687538,0,0,0,0,0,0,0.0721105622215361,0,0,0.0690648610901902,0.156315365468255,0,0,"kin-21","W08D2.8","Tyrosine-protein kinase","Protein kinase domain, SH2 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, Tyrosine-protein kinase, active site, Protein kinase-like domain superfamily, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, SH2 domain superfamily","Cbr-kin-21 | WBGene00040052",56.5378,"Cbn-kin-21 | WBGene00148381",57.4586,"CRE31449 | WBGene00070644",28.1768,"CJA23583 | WBGene00179155",41.4365
"58","WBGene00002260",0,0,0,0,0,0,0,0,0,0,0.0629105265730604,0,0,0,0,0.0854319003313861,0.207194583270571,0.0781576827341277,0.0474812006495238,0.0802792658766197,"lbp-8","T22G5.6","Fatty acid-binding protein homolog 8","Cytosolic fatty-acid binding, Lipocalin/cytosolic fatty-acid binding domain, Calycin, Intracellular lipid binding protein","Cbr-lbp-7 | WBGene00032569",68.6131,"Cbn-lbp-7 | WBGene00162007",69.3431,"Cre-lbp-7 | WBGene00052906",67.1533,"CJA00842 | WBGene00120046",49.635
"59","WBGene00003098",0,0,0,0.126826258489036,0,0,0,0,0,0.0977877095321699,0,0.0364699136706086,0,0.036055281110768,0,0,0.0345324305450951,0.156315365468255,0.189924802598095,0.160558531753239,"lys-9","C54C8.6","LYSozyme","Glycoside hydrolase superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"60","WBGene00003114",0,0,0,0.0634131292445182,0.416944890517568,0,0,0,0,0,0.125821053146121,0,0,0,0.0723249121460252,0.0854319003313861,0.13812972218038,0,0,0,"mab-23","C32C4.5","DM domain-containing protein mab-23","DM DNA-binding domain, DMRT family, DM DNA-binding domain superfamily, ","Cbr-mab-23 | WBGene00031215",76,"Cbn-mab-23 | WBGene00164429",76.5714,"Cre-mab-23 | WBGene00065025",83.4286,NA,NA
"61","WBGene00003424",0.120645049265557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msp-3","F26G1.7","Major sperm protein 3","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
"62","WBGene00003425",0,0,0,0.126826258489036,0,0,0.108388858687538,0,0,0,0,0,0,0.036055281110768,0,0,0,0,0,0,"msp-10","K07F5.2","Major sperm protein 10/36/56/76","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold","CBG02775 | WBGene00025765",100,NA,NA,"CRE27068 | WBGene00052457",100,NA,NA
"63","WBGene00003430",0.0301612623163892,0,0.103915251293316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781576827341277,0,0,"msp-32","R05F9.3","Major sperm protein 32","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
"64","WBGene00003431",0.180967573898335,0,0,0,0.138981630172523,0,0.108388858687538,0,0,0,0,0,0,0.036055281110768,0.0723249121460252,0,0.0690648610901902,0.0781576827341277,0,0,"msp-33","R05F9.8","Major sperm protein 33","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
"65","WBGene00003438",0,0.103070065587606,0,0,0.138981630172523,0,0,0.105365506620536,0,0,0,0,0.0860107660535977,0,0,0,0,0.0781576827341277,0,0.0802792658766197,"msp-45","F58A6.8","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,"Cre-msp-31 | WBGene00055436",100,NA,NA
"66","WBGene00003442",0.0603225246327783,0.103070065587606,0,0,0.138981630172523,0.048212685827963,0.108388858687538,0,0,0,0,0,0,0.0721105622215361,0,0,0,0,0,0.12041889881493,"msp-49","C34F11.6","Major sperm protein 49","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
"67","WBGene00003443",0.392096410113059,0.206140131175211,0,0,0.0694908150862614,0,0.108388858687538,0,0,0,0,0,0,0,0,0,0,0.0781576827341277,0,0,"msp-50","C34F11.4","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
"68","WBGene00003444",0.36193514779667,0.206140131175211,0,0.126826258489036,0.138981630172523,0,0.108388858687538,0,0,0,0,0,0,0,0,0,0,0,0,0,"msp-51","ZK354.5","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
