"","geneID","EE-SRS266838","L4-SRS266839","YA_female-SRS266840","YA_male-SRS266841","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"12","WBGene00138781",0,0,0,0,"CBN00056","CBN00056","Ig-like domain-containing protein","C-type lectin-like/link domain superfamily, C-type lectin fold",NA,NA,NA,NA,NA,NA,NA,NA
"13","WBGene00138783",0,0.117396165952746,0,0.521068492629616,"CBN00058","CBN00058","PRKCSH-like domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"14","WBGene00138784",0,0,0,0,"CBN00059","CBN00059","","",NA,NA,NA,NA,NA,NA,NA,NA
"15","WBGene00138788",0,0.293490414881866,0.336100290175547,0,"CBN00063","CBN00063","HisKA domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"16","WBGene00138792",0,0,0,0,"Cbn-acr-23.2","CBN00067","","Neurotransmitter-gated ion-channel transmembrane domain, Neurotransmitter-gated ion-channel, Neurotransmitter-gated ion-channel ligand-binding domain, Neurotransmitter-gated ion-channel, conserved site, Neurotransmitter-gated ion-channel transmembrane domain superfamily, Neurotransmitter-gated ion-channel ligand-binding domain superfamily, Neuronal acetylcholine receptor","acr-23 | WBGene00000062",81.7029,"Cbr-acr-23 | WBGene00028900",84.2391,"Cre-acr-23 | WBGene00058134",92.029,"CJA10198 | WBGene00129402",32.0652
"17","WBGene00138794",0,0,0,0.260534246314808,"CBN00069","CBN00069","","",NA,NA,NA,NA,NA,NA,NA,NA
"18","WBGene00138795",0,0,0,0,"CBN00070","CBN00070","","",NA,NA,NA,NA,NA,NA,NA,NA
"19","WBGene00138798",0.0289648884436149,0,0,0,"CBN00073","CBN00073","","",NA,NA,NA,NA,NA,NA,NA,NA
"20","WBGene00138804",0,0,0,0,"CBN00079","CBN00079","","7TM GPCR, serpentine chemoreceptor class i (Sri)","C31B8.1 | WBGene00016279",54.8936,"CBG27001 | WBGene00088415",77.0213,NA,NA,NA,NA
"21","WBGene00138807",0,0,0,0,"CBN00082","CBN00082","G protein-coupled receptor","7TM GPCR, serpentine receptor class h (Srh)","srh-213 | WBGene00005423",66.2162,"Cbr-srh-213 | WBGene00024574",73.4234,"Cre-srh-213 | WBGene00056726",76.5766,"CJA02042 | WBGene00121246",23.8739
"22","WBGene00138812",0,0,0,0,"Cbn-cutl-22.2","CBN00087","ZP domain-containing protein","Zona pellucida domain, Zona pellucida, ZP-C domain","cutl-22 | WBGene00020663",75.2759,"Cbr-cutl-22 | WBGene00024380",77.9249,"Cre-cutl-22 | WBGene00061102",82.1192,"Cjp-cutl-22 | WBGene00122200",63.3554
"23","WBGene00138814",0.144824442218074,0.117396165952746,0.134440116070219,0.260534246314808,"CBN00089","CBN00089","","","C17E7.13 | WBGene00015906",29.9559,"CBG06494 | WBGene00028761",34.3612,"CRE07815 | WBGene00081288",38.326,"CJA25991 | WBGene00181563",24.6696
"24","WBGene00138819",0,0.0586980829763732,0,0,"CBN00094","CBN00094","G protein-coupled receptor","7TM GPCR, serpentine receptor class h (Srh)","srh-277 | WBGene00005482",64.8485,"CBG24024 | WBGene00042234",67.8788,"Cre-srh-277.1 | WBGene00063801",72.1212,NA,NA
"25","WBGene00138830",0,0.0586980829763732,0,0.521068492629616,"Cbn-str-163.2","CBN00105","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-163 | WBGene00006208",79.7688,"Cbr-str-163 | WBGene00032728",86.4162,"Cre-str-163.1 | WBGene00069129",89.0173,NA,NA
"26","WBGene00138835",0.0289648884436149,0,0,0,"CBN00110","CBN00110","CUE domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"27","WBGene00138836",0,0.0586980829763732,0,0,"CBN00111","CBN00111","JmjC domain-containing protein","JmjC domain",NA,NA,NA,NA,"CRE03280 | WBGene00063165",19.0661,NA,NA
"28","WBGene00138841",0,0,0,0,"Cbn-sra-10","CBN00116","CBN-SRA-10 protein","7TM GPCR, serpentine receptor class a (Sra)","sra-10 | WBGene00005036",81.3609,"Cbr-sra-10 | WBGene00039589",89.0533,"Cre-sra-10 | WBGene00057524",81.6568,"Cjp-sra-10 | WBGene00126054",73.9645
"29","WBGene00138844",0.0579297768872298,0.146745207440933,0,0.65133561578702,"CBN00119","CBN00119","G protein-coupled receptor","7TM GPCR, serpentine chemoreceptor class i (Sri)",NA,NA,NA,NA,"CRE09280 | WBGene00080797",38.3838,NA,NA
"30","WBGene00138858",0,0,0,0,"Cbn-irld-17.2","CBN00133","Recep_L_domain domain-containing protein","Receptor L-domain, Receptor L-domain superfamily","irld-17 | WBGene00021609",50.4098,"Cbr-irld-17 | WBGene00031872",39.1393,"Cre-irld-17 | WBGene00056625",52.8689,"CJA00783 | WBGene00119987",24.3852
"31","WBGene00138859",0,0,0,0,"CBN00134","CBN00134","","",NA,NA,NA,NA,NA,NA,NA,NA
"32","WBGene00138862",0,0.117396165952746,0.0672200580351093,0.521068492629616,"CBN00137","CBN00137","FTH domain-containing protein","Domain of unknown function DUF38/FTH, Caenorhabditis species",NA,NA,NA,NA,"CRE23451 | WBGene00083161",19.4946,NA,NA
"33","WBGene00138868",0.0289648884436149,0,0,0,"CBN00143","CBN00143","G protein-coupled receptor","7TM GPCR, serpentine receptor class r (Str)",NA,NA,NA,NA,"Cre-str-185 | WBGene00059551",86.8217,"Cjp-str-185 | WBGene00125738",32.5581
"34","WBGene00138880",0.173789330661689,0,0,0,"CBN00155","CBN00155","Nuclear receptor domain-containing protein","Zinc finger, nuclear hormone receptor-type, Zinc finger, NHR/GATA-type",NA,NA,NA,NA,NA,NA,NA,NA
"35","WBGene00138885",0,0.264141373393679,0,0,"CBN00160","CBN00160","HMG box domain-containing protein","High mobility group box domain, High mobility group box domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"36","WBGene00138896",0,0,0,0,"Cbn-srw-101","CBN00171","G_PROTEIN_RECEP_F1_2 domain-containing protein","GPCR, rhodopsin-like, 7TM, 7TM GPCR, serpentine receptor class w (Srw)","srw-107 | WBGene00005854",43.9227,NA,NA,"Cre-srw-99 | WBGene00082410",44.1989,NA,NA
"37","WBGene00138900",0.0579297768872298,0,0,0,"CBN00175","CBN00175","","Transmembrane glycoprotein","F54E2.1 | WBGene00018823",34.9333,NA,NA,"CRE24977 | WBGene00062216",31.7333,"CJA18767 | WBGene00137972",37.3333
"38","WBGene00138904",0.0579297768872298,0,0,0,"CBN00179","CBN00179","AsmA_2 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"39","WBGene00138908",0,0.0586980829763732,0,0.260534246314808,"Cbn-gln-2.1","CBN00183","glutamine synthetase","Glutamine synthetase, catalytic domain, Glutamine synthetase, N-terminal domain, Glutamine synthetase/guanido kinase, catalytic domain, Glutamine synthetase, N-terminal conserved site, Glutamine synthetase, N-terminal domain superfamily","gln-2 | WBGene00001603",95.0954,"Cbr-gln-2.2 | WBGene00039664",96.7302,"Cre-gln-2 | WBGene00057542",96.1853,"Cjp-gln-2 | WBGene00121101",92.6431
"40","WBGene00138910",0.0579297768872298,0,0,0,"CBN00185","CBN00185","BZIP domain-containing protein","","C17E7.4 | WBGene00015899",46.5823,"CBG06493 | WBGene00028760",48.3544,"CRE07816 | WBGene00067978",53.1646,"CJA17911 | WBGene00137114",32.4051
"41","WBGene00138912",0.202754219105304,0.234792331905493,0,0.390801369472212,"CBN00187","CBN00187","CBN-SRT-41 protein","Short-chain dehydrogenase/reductase SDR, Short-chain dehydrogenase/reductase, conserved site, NAD(P)-binding domain superfamily","R05D8.7 | WBGene00019885",73.741,"CBG06326 | WBGene00028621",72.3022,"CRE18549 | WBGene00058066",74.1007,NA,NA
"42","WBGene00138918",0.0579297768872298,0,0,0,"CBN00193","CBN00193","","",NA,NA,NA,NA,NA,NA,NA,NA
"43","WBGene00138923",0.0579297768872298,0.0586980829763732,0,0,"CBN00198","CBN00198","","",NA,NA,NA,NA,NA,NA,NA,NA
"44","WBGene00138926",0.608262657315912,0,0.134440116070219,0,"Cbn-dnj-23.1","CBN00201","J domain-containing protein","DnaJ domain, DnaJ domain, conserved site, Chaperone J-domain superfamily","dnj-23 | WBGene00001041",78.1893,NA,NA,"Cre-dnj-23 | WBGene00053228",74.4856,"CJA40066 | WBGene00215914",41.5638
"45","WBGene00138927",0.11585955377446,0,0,0,"CBN00202","CBN00202","Secreted protein","",NA,NA,NA,NA,NA,NA,NA,NA
"46","WBGene00138928",0,0.0586980829763732,0,0,"CBN00203","CBN00203","DUF223 domain-containing protein","p53-like transcription factor, DNA-binding domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"47","WBGene00138930",0,0,0,0,"CBN00205","CBN00205","Ovule protein","7TM GPCR, serpentine receptor class u (Sru)",NA,NA,NA,NA,NA,NA,NA,NA
"48","WBGene00138932",0,0.0586980829763732,0,0,"CBN00207","CBN00207","NR LBD domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"49","WBGene00138933",0,0,0,0,"CBN00208","CBN00208","Ovule protein","",NA,NA,NA,NA,NA,NA,NA,NA
"50","WBGene00138936",0.11585955377446,0,0,0,"CBN00211","CBN00211","Galectin","",NA,NA,NA,NA,NA,NA,NA,NA
"51","WBGene00138945",0.0579297768872298,0,0.134440116070219,0,"CBN00220","CBN00220","Rho-GAP domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"52","WBGene00138946",0.0579297768872298,0.117396165952746,0,0.521068492629616,"CBN00221","CBN00221","SEA domain-containing protein","",NA,NA,"CBG10293 | WBGene00031707",10.9223,"CRE19803 | WBGene00065748",22.0874,NA,NA
"53","WBGene00138955",0.868946653308446,0.0586980829763732,0,0,"CBN00230","CBN00230","GATA-type domain-containing protein","Zinc finger, GATA-type, Zinc finger, NHR/GATA-type",NA,NA,NA,NA,NA,NA,NA,NA
"54","WBGene00138957",0,0,0,0,"CBN00232","CBN00232","","",NA,NA,NA,NA,NA,NA,NA,NA
"55","WBGene00138959",0.0579297768872298,0,0,0,"CBN00234","CBN00234","Btz domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"56","WBGene00138964",0,0,0,0,"CBN00239","CBN00239","","",NA,NA,NA,NA,NA,NA,NA,NA
"57","WBGene00138966",0.0579297768872298,0.528282746787359,0,0,"CBN00241","CBN00241","SSD domain-containing protein","Sterol-sensing domain, Protein patched/dispatched","ptr-18 | WBGene00004232",90.7574,"Cbr-ptr-18 | WBGene00025756",95.7638,"Cre-ptr-18 | WBGene00053670",88.9602,"Cjp-ptr-18 | WBGene00122729",90.8857
"58","WBGene00138967",0,0,0,0,"CBN00242","CBN00242","C2H2-type domain-containing protein","Zinc finger C2H2-type",NA,NA,NA,NA,NA,NA,NA,NA
"59","WBGene00138969",0,0,0,0,"CBN00244","CBN00244","","7TM GPCR, serpentine receptor class z (Srz)",NA,NA,NA,NA,NA,NA,NA,NA
"60","WBGene00138978",0.0289648884436149,0,0,0,"CBN00253","CBN00253","FTH domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"61","WBGene00138985",0,0,0,0,"Cbn-col-153.1","CBN00260","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal","col-153 | WBGene00000726",77.8736,"Cbr-col-153 | WBGene00041484",83.908,"Cre-col-153 | WBGene00066246",79.8851,"Cjp-col-153 | WBGene00138487",64.9425
"62","WBGene00138986",0.0579297768872298,0.0586980829763732,0.268880232140437,0.260534246314808,"CBN00261","CBN00261","Rod_C domain-containing protein","Regulator of chromosome condensation, RCC1, Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II","glo-4 | WBGene00017195",76.6634,"Cbr-glo-4 | WBGene00038491",77.9543,"Cre-glo-4 | WBGene00064950",77.855,"Cjp-glo-4 | WBGene00135344",40.3178
"63","WBGene00138988",0.173789330661689,0.440235622322799,0.134440116070219,0,"CBN00263","CBN00263","DB domain-containing protein","Domain of unknown function DB","T20G5.13 | WBGene00011874",77.0833,"CBG09804 | WBGene00031324",73.3333,"CRE25207 | WBGene00054930",76.6667,"CJA12123 | WBGene00131327",24.1667
"64","WBGene00138990",0,0,0,0,"Cbn-atfs-1","CBN00265","BZIP domain-containing protein","Basic-leucine zipper domain","atfs-1 | WBGene00013878",75.2515,"Cbr-atfs-1 | WBGene00027356",75.6539,"Cre-atfs-1 | WBGene00056989",73.6419,"Cjp-atfs-1 | WBGene00132939",58.7525
"65","WBGene00138992",0,0.117396165952746,0,0,"CBN00267","CBN00267","","Nuclear hormone receptor, ligand-binding domain, Zinc finger, nuclear hormone receptor-type, Zinc finger, NHR/GATA-type, Nuclear hormone receptor-like domain superfamily",NA,NA,"CBG22952 | WBGene00041396",31.2121,"CRE06819 | WBGene00064501",45.7576,NA,NA
"66","WBGene00139001",0.202754219105304,0.0586980829763732,0,0.260534246314808,"CBN00276","CBN00276","SYNE2 protein","",NA,NA,NA,NA,NA,NA,NA,NA
"67","WBGene00139007",0.0579297768872298,0.17609424892912,0,0.390801369472212,"CBN00282","CBN00282","DUF281 domain-containing protein","",NA,NA,"CBG12899 | WBGene00033766",24.5192,"CRE10740 | WBGene00078643",31.7308,NA,NA
"68","WBGene00139008",0,0.117396165952746,0,0.390801369472212,"CBN00283","CBN00283","Prothymosin alpha-like","",NA,NA,NA,NA,NA,NA,NA,NA
"69","WBGene00139009",0,0,0,0,"CBN00284","CBN00284","SCP domain-containing protein","Venom allergen 5-like, CAP domain, CAP superfamily",NA,NA,"CBG06558 | WBGene00028818",73.3333,"CRE12923 | WBGene00067623",67.1429,NA,NA
"70","WBGene00139017",0,0.0586980829763732,0,0,"CBN00292","CBN00292","BZIP domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"71","WBGene00139032",0,0,0.134440116070219,0,"CBN00307","CBN00307","RING-type domain-containing protein","Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type, Zinc finger, RING-type, conserved site, Zinc finger, C3HC4 RING-type",NA,NA,NA,NA,NA,NA,NA,NA
"72","WBGene00139046",0,0,0,0,"CBN00321","CBN00321","Transducin/WD40 repeat-like superfamily protein","",NA,NA,NA,NA,NA,NA,NA,NA
"73","WBGene00139047",0.11585955377446,0.234792331905493,0,0,"Cbn-col-86","CBN00322","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat",NA,NA,NA,NA,"Cre-col-86 | WBGene00053651",73.1707,"Cjp-col-86 | WBGene00134605",51.8293
"74","WBGene00139051",0,0.322839456370052,0,0,"CBN00326","CBN00326","","",NA,NA,NA,NA,NA,NA,NA,NA
"75","WBGene00139052",0,0,0,0.260534246314808,"CBN00327","CBN00327","RAB6-interacting golgin","",NA,NA,NA,NA,NA,NA,NA,NA
"76","WBGene00139060",0,0.469584663810985,0,0.390801369472212,"Cbn-hsp-12.6.1","CBN00335","SHSP domain-containing protein","Alpha crystallin/Small heat shock protein, animal type, Alpha crystallin/Hsp20 domain, HSP20-like chaperone","hsp-12.6 | WBGene00002013",90,"Cbr-hsp-12.6 | WBGene00040366",94.5455,"Cre-hsp-12.6 | WBGene00070253",93.6364,"Cjp-hsp-12.6.2 | WBGene00135237",87.2727
"77","WBGene00139061",0,0.0586980829763732,0,0,"CBN00336","CBN00336","Phospholipid scramblase","",NA,NA,NA,NA,NA,NA,NA,NA
"78","WBGene00139068",0,0.0586980829763732,0,0.260534246314808,"Cbn-str-229","CBN00343","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)",NA,NA,NA,NA,"CRE16091 | WBGene00082038",46.5986,"CJA03630 | WBGene00122834",13.2653
"79","WBGene00139071",0,0.117396165952746,0,0,"Cbn-srsx-5.1","CBN00346","G_PROTEIN_RECEP_F1_2 domain-containing protein","G protein-coupled receptor, rhodopsin-like, GPCR, rhodopsin-like, 7TM, Serpentine type 7TM GPCR chemoreceptor Srsx, Serpentine type 7TM GPCR chemoreceptor Srsx, nematodes","srsx-5 | WBGene00022404",75,"Cbr-srsx-5 | WBGene00030387",78.0488,"Cre-srsx-5 | WBGene00052676",78.9634,"Cjp-srsx-5 | WBGene00119254",59.7561
"80","WBGene00139072",0,0,0,0,"CBN00347","CBN00347","","",NA,NA,NA,NA,NA,NA,NA,NA
"81","WBGene00139078",0.984806207082906,0,0,0,"CBN00353","CBN00353","Glycoprotein","",NA,NA,NA,NA,"CRE27915 | WBGene00072516",28.5235,NA,NA
"82","WBGene00139080",0,0,0,0,"CBN00355","CBN00355","Neur_chan_LBD domain-containing protein","Neurotransmitter-gated ion-channel, Neurotransmitter-gated ion-channel ligand-binding domain, Neurotransmitter-gated ion-channel transmembrane domain superfamily, Neurotransmitter-gated ion-channel ligand-binding domain superfamily, Neuronal acetylcholine receptor","lgc-29 | WBGene00044528",85.8859,"Cbr-lgc-29 | WBGene00088409",90.0901,"Cre-lgc-29 | WBGene00056823",93.3934,NA,NA
"83","WBGene00139082",0,0.0586980829763732,0.268880232140437,0,"CBN00357","CBN00357","","",NA,NA,NA,NA,NA,NA,NA,NA
"84","WBGene00139084",0,0,0,0,"CBN00359","CBN00359","C-type lectin domain-containing protein","C-type lectin-like, PAN-3 domain, C-type lectin-like/link domain superfamily, C-type lectin fold",NA,NA,NA,NA,NA,NA,NA,NA
"85","WBGene00139109",0,0.117396165952746,0,0,"CBN00384","CBN00384","ATPase domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"86","WBGene00139120",0,0,0,0,"CBN00395","CBN00395","BTB domain-containing protein","BTB/POZ domain, SKP1/BTB/POZ domain superfamily","Y97E10AR.1 | WBGene00022396",63.5556,"CBG11401 | WBGene00032518",69.037,"CRE05463 | WBGene00052957",72.4444,"CJA07472 | WBGene00126676",58.2222
"87","WBGene00139129",0,0.146745207440933,0,0,"CBN00404","CBN00404","B box-type domain-containing protein","B-box-type zinc finger",NA,NA,NA,NA,NA,NA,NA,NA
"88","WBGene00139130",0.144824442218074,0.117396165952746,0,0.260534246314808,"CBN00405","CBN00405","","",NA,NA,NA,NA,NA,NA,NA,NA
"89","WBGene00139139",0,0,0,0.260534246314808,"CBN00414","CBN00414","Major sperm protein","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold","ssp-37 | WBGene00012211",38.125,NA,NA,"CRE03687 | WBGene00060470",56.25,"CJA20216 | WBGene00175788",31.875
"90","WBGene00139141",0,0,0,0,"CBN00416","CBN00416","C-type lectin domain-containing protein","C-type lectin-like, C-type lectin-like/link domain superfamily, C-type lectin fold",NA,NA,NA,NA,NA,NA,NA,NA
"91","WBGene00139146",0.11585955377446,0.0586980829763732,0,0,"Cbn-srx-133","CBN00421","CBN-SRX-133 protein","7TM GPCR, serpentine receptor class x  (Srx)","srx-133 | WBGene00006024",65.3199,"Cbr-srx-133 | WBGene00271628",54.5455,"Cre-srx-133 | WBGene00052894",36.0269,NA,NA
"92","WBGene00139154",0,0.586980829763732,0,0.260534246314808,"Cbn-fip-1","CBN00429","","","fip-1 | WBGene00017695",73.2394,"Cbr-fip-1 | WBGene00041375",64.7887,"Cre-fip-1 | WBGene00064464",80.2817,NA,NA
"93","WBGene00139156",0,0.117396165952746,0,0.521068492629616,"CBN00431","CBN00431","RING-type domain-containing protein","B-box-type zinc finger, Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type, Zinc finger, RING-type, conserved site, TRIM45/56/19",NA,NA,NA,NA,NA,NA,NA,NA
"94","WBGene00139162",0.231719107548919,0,0,0,"CBN00437","CBN00437","AT-hook motif nuclear-localized protein","",NA,NA,NA,NA,NA,NA,NA,NA
"95","WBGene00139164",0.144824442218074,0,0,0,"CBN00439","CBN00439","DUF1968 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"96","WBGene00139167",0,0.0880471244645598,0,0.260534246314808,"CBN00442","CBN00442","Zf-C2H2_12 domain-containing protein","",NA,NA,NA,NA,"CRE05712 | WBGene00078982",24.5192,NA,NA
"97","WBGene00139168",0,0,0,0,"Cbn-srbc-29.1","CBN00443","7TM_GPCR_Srx domain-containing protein","7TM GPCR, serpentine receptor class bc (Srbc)",NA,NA,NA,NA,NA,NA,NA,NA
"98","WBGene00139169",0,0,0,0.260534246314808,"CBN00444","CBN00444","BCAS3","",NA,NA,NA,NA,NA,NA,"Cjp-nos-1 | WBGene00134948",20
"99","WBGene00139170",0.173789330661689,0,0,0,"CBN00445","CBN00445","SET domain-containing protein","SET domain, SET domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"100","WBGene00139176",0,0,0,0,"CBN00451","CBN00451","C2H2-type domain-containing protein","Zinc finger C2H2-type",NA,NA,NA,NA,NA,NA,"CJA12019 | WBGene00131223",22.9195
"101","WBGene00139177",0.0579297768872298,0.0586980829763732,0.134440116070219,0,"CBN00452","CBN00452","ATP-dependent DNA helicase","DNA helicase Pif1-like, Helitron helicase-like domain, P-loop containing nucleoside triphosphate hydrolase",NA,NA,NA,NA,NA,NA,NA,NA
"102","WBGene00139180",0.144824442218074,0.0293490414881866,0,0,"CBN00455","CBN00455","","",NA,NA,NA,NA,NA,NA,NA,NA
"103","WBGene00139182",0.0289648884436149,0.0586980829763732,0,0,"Cbn-fipr-24.2","CBN00457","Glycine rich protein","",NA,NA,NA,NA,NA,NA,NA,NA
"104","WBGene00139184",0.0579297768872298,0.0880471244645598,0,0,"CBN00459","CBN00459","S5A_REDUCTASE domain-containing protein","3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal",NA,NA,NA,NA,NA,NA,NA,NA
"105","WBGene00139199",0,0,0,0,"CBN00474","CBN00474","GOLD domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"106","WBGene00139207",0.0868946653308446,0,0,0,"CBN00482","CBN00482","Profilin","",NA,NA,NA,NA,NA,NA,NA,NA
"107","WBGene00139208",0.0579297768872298,0.293490414881866,0,0,"Cbn-grl-3.1","CBN00483","CBN-GRL-3 protein","Ground-like domain","grl-3 | WBGene00001712",82.9268,"Cbr-grl-3 | WBGene00041595",86.4111,"Cre-grl-3 | WBGene00064756",86.0627,"Cjp-grl-3 | WBGene00126800",70.3833
"108","WBGene00139216",0,0,0,0,"CBN00491","CBN00491","CW domain-containing protein","C-type lectin-like/link domain superfamily, C-type lectin fold",NA,NA,NA,NA,NA,NA,NA,NA
"109","WBGene00139224",0.0579297768872298,0,0,0,"Cbn-smg-4.2","CBN00499","Smg4_UPF3 domain-containing protein","UPF3 domain, Nucleotide-binding alpha-beta plait domain superfamily, RNA-binding domain superfamily, Nonsense-mediated mRNA decay protein 3","smg-4 | WBGene00004882",64.5455,"CBG19371 | WBGene00038606",65.7576,NA,NA,"Cjp-smg-4 | WBGene00134904",60.9091
"110","WBGene00139226",0,0.0586980829763732,0,0,"CBN00501","CBN00501","AMP-binding domain-containing protein","AMP-dependent synthetase/ligase domain, AMP-binding, conserved site, AMP-binding enzyme, C-terminal domain, ANL, N-terminal domain, AMP-binding enzyme, C-terminal domain superfamily","acs-11 | WBGene00018269",92.5054,"Cbr-acs-11 | WBGene00039574",94.4325,"Cre-acs-11 | WBGene00057511",94.8608,"Cjp-acs-21 | WBGene00131880",64.2398
"111","WBGene00139227",0.0579297768872298,0.205443290417306,0,0,"CBN00502","CBN00502","SH3 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"112","WBGene00139228",0,0,0,0,"CBN00503","CBN00503","G protein-coupled receptor","7TM GPCR, serpentine receptor class h (Srh)","srh-277 | WBGene00005482",66.0606,"CBG24024 | WBGene00042234",69.0909,"Cre-srh-277.1 | WBGene00063801",72.1212,NA,NA
"113","WBGene00139245",0,0.821773161669224,0,0,"CBN00520","CBN00520","","",NA,NA,NA,NA,NA,NA,NA,NA
"114","WBGene00139247",0,0,0,0,"CBN00522","CBN00522","Charged multivesicular body protein 5","Snf7 family","vps-60 | WBGene00018290",95.1351,"Cbr-vps-60 | WBGene00024709",96.2162,"Cre-vps-60 | WBGene00062054",97.2973,"Cjp-vps-60 | WBGene00120713",94.0541
"115","WBGene00139255",0.144824442218074,0.17609424892912,0,0.260534246314808,"CBN00530","CBN00530","Tyrosine-protein phosphatase domain-containing protein","Tyrosine-specific protein phosphatase, PTPase domain, Tyrosine-specific protein phosphatases domain, Protein-tyrosine phosphatase, catalytic, Protein-tyrosine phosphatase-like","C15H7.3 | WBGene00007610",66.9065,"CBG10041 | WBGene00031523",80.9352,"CRE25567 | WBGene00055063",83.4532,"CJA11899 | WBGene00131103",54.6763
"116","WBGene00139259",0,0,0,0,"CBN00534","CBN00534","Dehydrogenase/reductase SDR family member 4","Short-chain dehydrogenase/reductase SDR, Short-chain dehydrogenase/reductase, conserved site, NAD(P)-binding domain superfamily","F12E12.11 | WBGene00044811",72.8571,NA,NA,NA,NA,NA,NA
"117","WBGene00139260",0,0,0,0,"CBN00535","CBN00535","Bulb-type lectin domain-containing protein","Fas apoptotic inhibitory molecule 1, FAIM1 domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
