"","geneID","EE-SRS266350","L2-SRS266346","L4-SRS266347","Ad_female-SRS266349","Ad_male-SRS266348","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"32","WBGene00119405",0,0.181211431034523,0.0609681411588056,0,0,"Cjp-clh-2","CJA00201","Chloride channel protein","CBS domain, Chloride channel, voltage gated, Chloride channel, core, CBS domain superfamily","clh-2 | WBGene00000529",93.9573,"CBG02916 | WBGene00025876",95.0237,"Cbn-clh-2.1 | WBGene00190540",95.0237,"Cre-clh-2 | WBGene00053555",95.6161
"33","WBGene00119407",0,0,0,0,0,"Cjp-snf-6","CJA00203","Sodium-dependent acetylcholine transporter","Sodium:neurotransmitter symporter, Sodium:neurotransmitter symporter superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"34","WBGene00119412",0,0,0,0,0,"Cjp-lips-5","CJA00208","Lipase domain-containing protein","Lipase EstA/Esterase EstB, Alpha/Beta hydrolase fold","lips-5 | WBGene00011725",82.7381,"Cbr-lips-5 | WBGene00028479",83.9286,NA,NA,"Cre-lips-5 | WBGene00062650",81.8452
"35","WBGene00119419",0,0,0,0,0,"CJA00215","CJA00215","MARVEL domain-containing protein","","F09F9.1 | WBGene00017306",92.6667,"CBG14345 | WBGene00034877",89.3333,"CBN18203 | WBGene00156928",93.3333,"CRE00844 | WBGene00051883",89.3333
"36","WBGene00119426",0,0,0,0,0,"CJA00222","CJA00222","HTH luxR-type domain-containing protein","Transcription regulator LuxR, C-terminal, Homeobox-like domain superfamily, Winged helix-like DNA-binding domain superfamily",NA,NA,"CBG12887 | WBGene00033755",82.0988,NA,NA,NA,NA
"37","WBGene00119430",0,0,0,0,0,"CJA00226","CJA00226","EF-hand domain-containing protein","Stromal interaction molecule","stim-1 | WBGene00021910",73.7705,"Cbr-stim-1 | WBGene00035847",77.8689,"Cbn-stim-1 | WBGene00149270",77.8689,"Cre-stim-1 | WBGene00065386",77.0492
"38","WBGene00119431",0,0,0,0,0,"CJA00227","CJA00227","Aa_trans domain-containing protein","Amino acid transporter, transmembrane domain","Y4C6B.2 | WBGene00021156",84.9462,"CBG19965 | WBGene00039081",86.0215,"CBN26082 | WBGene00164807",85.6631,"CRE13521 | WBGene00064013",84.9462
"39","WBGene00119436",0,0,0,0,0,"CJA00232","CJA00232","NR LBD domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"40","WBGene00119447",0.64283204026597,0,0,0,0.122825316361167,"CJA00243","CJA00243","GIT domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"41","WBGene00119455",0,0,0,0,0,"Cjp-cest-4","CJA00251","COesterase domain-containing protein","Carboxylesterase, type B, Alpha/Beta hydrolase fold","cest-4 | WBGene00015930",31.0458,"Cbr-cest-4 | WBGene00027829",32.0261,"CBN31588 | WBGene00193553",4.46623,"CRE19573 | WBGene00074116",28.1046
"42","WBGene00119456",0,0,0,0,0,"CJA00252","CJA00252","ULP_PROTEASE domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"43","WBGene00119457",0.128566408053194,0,0,0,0,"CJA00253","CJA00253","ZP domain-containing protein","Transthyretin-like","K10H10.9 | WBGene00010764",37.5,NA,NA,NA,NA,NA,NA
"44","WBGene00119459",0.128566408053194,0.241615241379364,0,0.244092101564038,0,"CJA00255","CJA00255","CCHC-type domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"45","WBGene00119461",0,0,0,0,0,"CJA00256","CJA00256","snRNA-activating protein complex subunit 3","snRNA-activating protein complex, subunit 3, ",NA,NA,NA,NA,NA,NA,NA,NA
"46","WBGene00119460",0.128566408053194,0,0,0,0,"CJA00257","CJA00257","WSN domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"47","WBGene00119480",0.257132816106388,0.483230482758729,0.243872564635222,0,0,"Cjp-gcy-5.1","CJA00275","Guanylate cyclase","Protein kinase domain, Adenylyl cyclase class-3/4/guanylyl cyclase, Serine-threonine/tyrosine-protein kinase, catalytic domain, Receptor, ligand binding region, Protein kinase-like domain superfamily, Adenylyl cyclase class-4/guanylyl cyclase, conserved site, Periplasmic binding protein-like I, Nucleotide cyclase","gcy-5 | WBGene00001532",69.2688,"Cbr-gcy-5 | WBGene00024179",70.6522,"Cbn-gcy-3 | WBGene00159896",71.2451,"Cre-gcy-5 | WBGene00069305",69.3676
"48","WBGene00119479",0,0,0,0,0,"Cjp-gtsf-1","CJA00276","CHHC U11-48K-type domain-containing protein","TRM13/UPF0224 family, U11-48K-like CHHC zinc finger domain, Zinc finger C2H2 superfamily","gtsf-1 | WBGene00020286",40.3061,"Cbr-gtsf-1 | WBGene00034415",33.1633,"CBN18835 | WBGene00157560",36.2245,"CRE30365 | WBGene00066007",24.4898
"49","WBGene00119483",0.514265632212776,0.241615241379364,0,0,0,"CJA00278","CJA00278","Reverse transcriptase domain-containing protein","Reverse transcriptase domain, Reverse transcriptase/Diguanylate cyclase domain, DNA/RNA polymerase superfamily",NA,NA,NA,NA,"CBN12997 | WBGene00151722",24.3038,"CRE09905 | WBGene00073709",50.6329
"50","WBGene00119487",0.128566408053194,0.302019051724206,0,0.244092101564038,0,"CJA00283","CJA00283","CCHC-type domain-containing protein","Zinc finger, CCHC-type, Zinc finger, CCHC-type superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"51","WBGene00119489",0.192849612079791,0,0.121936282317611,0,0,"CJA00284","CJA00284","RPAP3_C domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"52","WBGene00119495",0.257132816106388,0.302019051724206,0.243872564635222,0,0,"Cjp-srx-41","CJA00290","7TM_GPCR_Srx domain-containing protein","7TM GPCR, serpentine receptor class x  (Srx)","srx-41 | WBGene00005932",79.6992,"CBG31407 | WBGene00303349",62.782,"Cbn-srx-41.2 | WBGene00192331",81.203,"CRE18855 | WBGene00058129",68.797
"53","WBGene00119496",0,0.0604038103448411,0,0,0,"Cjp-ccb-2","CJA00292","Reverse transcriptase domain-containing protein","Reverse transcriptase domain, Voltage-dependent calcium channel, L-type, beta subunit, SH3 domain, P-loop containing nucleoside triphosphate hydrolase, SH3-like domain superfamily, DNA/RNA polymerase superfamily","ccb-2 | WBGene00021125",39.1097,"Cbr-ccb-2 | WBGene00026952",39.4277,"Cbn-ccb-2 | WBGene00152770",39.2687,"Cre-ccb-2 | WBGene00057144",39.5866
"54","WBGene00119500",0,0,0,0,0,"CJA00293","CJA00293","Ovule protein","",NA,NA,NA,NA,NA,NA,NA,NA
"55","WBGene00119502",0,0,0,0,0,"CJA00297","CJA00297","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase","",NA,NA,NA,NA,NA,NA,NA,NA
"56","WBGene00119504",0.128566408053194,0.120807620689682,0,0.122046050782019,0,"CJA00300","CJA00300","Ricin B-type lectin domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"57","WBGene00119510",0,0,0,0.0610230253910096,0.0614126581805837,"Cjp-dhp-1","CJA00306","Amidohydro-rel domain-containing protein","Amidohydrolase-related, Metal-dependent hydrolase, composite domain superfamily, Hydantoinase/dihydropyrimidinase, Metal-dependent hydrolase","dhp-1 | WBGene00000963",80.1835,"Cbr-dhp-1 | WBGene00040591",80.5505,"Cbn-dhp-1 | WBGene00156717",80,"Cre-dhp-1 | WBGene00071327",73.7615
"58","WBGene00119513",0,0,0,0,0,"Cjp-srx-95","CJA00308","7TM_GPCR_Srx domain-containing protein","7TM GPCR, serpentine receptor class x  (Srx)","srx-95 | WBGene00005986",58.3893,"Cbr-srx-95 | WBGene00032314",59.7315,"Cbn-srx-95 | WBGene00145950",55.7047,"Cre-srx-95 | WBGene00054167",60.7383
"59","WBGene00119512",0,0,0,0,0,"CJA00309","CJA00309","BZIP domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"60","WBGene00119515",0,0,0,0,0,"CJA00311","CJA00311","G_PROTEIN_RECEP_F1_2 domain-containing protein","Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"61","WBGene00119525",0,0,0,0,0,"CJA00320","CJA00320","non-specific serine/threonine protein kinase","Phosphatidylinositol 3-/4-kinase, catalytic domain, PIK-related kinase, FAT, FKBP12-rapamycin binding domain, Protein kinase-like domain superfamily, Armadillo-like helical, PIK-related kinase, Phosphatidylinositol 3/4-kinase, conserved site, Serine/threonine-protein kinase TOR, catalytic domain, FKBP12-rapamycin binding domain superfamily, Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"62","WBGene00119538",0,0,0,0,0,"Cjp-ajm-1","CJA00334","MYND-type domain-containing protein",", Apical junction component","ajm-1 | WBGene00000100",80.3424,"Cbr-ajm-1 | WBGene00023636",82.1814,"Cbn-ajm-1.1 | WBGene00194196",74.572,"Cre-ajm-1.2 | WBGene00051090",76.4743
"63","WBGene00119541",0.192849612079791,0.181211431034523,0.0609681411588056,0.0610230253910096,0,"CJA00337","CJA00337","EF-hand domain-containing protein",", Protein of unknown function DUF1759",NA,NA,NA,NA,"CBN32443 | WBGene00194408",23.8185,NA,NA
"64","WBGene00119544",0,0,0,0,0,"CJA00340","CJA00340","DDE_3 domain-containing protein","Ribonuclease H superfamily, Tc1-like transposase, DDE domain",NA,NA,NA,NA,NA,NA,NA,NA
"65","WBGene00119546",0,0,0.0609681411588056,0,0,"CJA00342","CJA00342","HTH_Tnp_Tc3_1 domain-containing protein","Homeobox-like domain superfamily, Tc3 transposase, DNA binding domain, ",NA,NA,NA,NA,NA,NA,NA,NA
"66","WBGene00119556",0.257132816106388,0.120807620689682,0.487745129270445,0.122046050782019,0,"CJA00352","CJA00352","LIM zinc-binding domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"67","WBGene00119561",0,0,0,0,0,"CJA00357","CJA00357","C2H2-type domain-containing protein","","F33H1.4 | WBGene00009365",58.9789,"CBG00931 | WBGene00024239",27.9049,"CBN31405 | WBGene00193370",52.5528,"CRE23188 | WBGene00072743",53.9613
"68","WBGene00119583",0,0,0,0,0,"Cjp-clh-4","CJA00379","Chloride channel protein","CBS domain, Chloride channel, voltage gated, Chloride channel, core, CBS domain superfamily","clh-4 | WBGene00000531",84.0909,"Cbr-clh-4 | WBGene00034871",84.3074,"Cbn-clh-4 | WBGene00150222",84.632,"Cre-clh-4 | WBGene00051888",84.5238
"69","WBGene00119595",0.128566408053194,0.483230482758729,0.243872564635222,0,0.122825316361167,"Cjp-gar-1","CJA00391","G_PROTEIN_RECEP_F1_2 domain-containing protein","G protein-coupled receptor, rhodopsin-like, GPCR, rhodopsin-like, 7TM","gar-1 | WBGene00001517",90.176,"Cbr-gar-1 | WBGene00027622",90.7625,"Cbn-gar-1 | WBGene00146223",91.349,"Cre-gar-1 | WBGene00051490",92.8152
"70","WBGene00119597",0.257132816106388,0.362422862069047,0,0,0,"Cjp-faah-6","CJA00393","Amidase domain-containing protein","Amidase signature domain, Amidase signature (AS) superfamily","faah-6 | WBGene00012750",57.3896,"CBG31028 | WBGene00271695",67.1785,NA,NA,"Cre-faah-6 | WBGene00063062",67.7543
"71","WBGene00119603",0,0,0,0,0,"Cjp-col-81","CJA00399","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat","col-137 | WBGene00000710",46.2963,NA,NA,"Cbn-col-78 | WBGene00190183",29.321,NA,NA
"72","WBGene00119615",0,0,0,0,0,"CJA00411","CJA00411","Aminopeptidase","Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase, Peptidase M1, membrane alanine aminopeptidase, Armadillo-type fold, HEAT, type 2, Peptidase M4/M1, CTD superfamily, Aminopeptidase N-type, Aminopeptidase N-like , N-terminal domain superfamliy, Aminopeptidase N-like , N-terminal domain","R03G8.6 | WBGene00011000",21.7921,"CBG09516 | WBGene00031083",21.5054,"CBN15776 | WBGene00154501",21.7921,"CRE30714 | WBGene00059047",23.4409
"73","WBGene00119618",0,0,0,0,0,"CJA00414","CJA00414","Ovule protein","",NA,NA,NA,NA,NA,NA,NA,NA
"74","WBGene00119627",0,0.483230482758729,0,0.122046050782019,0,"CJA00423","CJA00423","Endo/exonuclease/phosphatase domain-containing protein","AP endonuclease 1, Endonuclease/exonuclease/phosphatase, Endonuclease/exonuclease/phosphatase superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"75","WBGene00119628",0,0,0,0,0,"Cjp-tct-1","CJA00424","Translationally-controlled tumor protein homolog","Mss4-like superfamily, Mss4/translationally controlled tumour-associated TCTP, Translationally controlled tumour protein, conserved site, Translationally controlled tumour protein, Translationally controlled tumour protein (TCTP) domain","tct-1 | WBGene00009122",93.9227,"Cbr-tct-1 | WBGene00025340",93.3702,NA,NA,"Cre-tct-1 | WBGene00086124",91.1602
"76","WBGene00119635",0,0,0,0.0610230253910096,0,"CJA00431","CJA00431","C-type lectin domain-containing protein","",NA,NA,NA,NA,"CBN32358 | WBGene00194323",44.8276,NA,NA
"77","WBGene00119638",0,0,0,0,0,"CJA00434","CJA00434","DDE_3 domain-containing protein","Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"78","WBGene00119645",0.128566408053194,0,0,0.122046050782019,0,"CJA00441","CJA00441","HTH_Tnp_Tc3_2 domain-containing protein","Transposase, Tc1-like, Homeobox-like domain superfamily, Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"79","WBGene00119648",0,0.0604038103448411,0,0,0,"Cjp-shl-1","CJA00444","Ion_trans domain-containing protein","Potassium channel tetramerisation-type BTB domain, Potassium channel, voltage dependent, Kv3, SKP1/BTB/POZ domain superfamily, Shal-type voltage-gated potassium channels, N-terminal, Potassium channel, voltage dependent, Kv, Potassium channel, voltage dependent, Kv4, Ion transport domain, Voltage-dependent channel domain superfamily, BTB/POZ domain",NA,NA,NA,NA,NA,NA,NA,NA
"80","WBGene00119654",0,0.0604038103448411,0,0,0.122825316361167,"CJA00450","CJA00450","BRCT domain-containing protein","BRCT domain, Ankyrin repeat, Domain of unknown function WSN, BRCT domain superfamily, Ankyrin repeat-containing domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"81","WBGene00119666",0,0,0,0,0,"CJA00462","CJA00462","OB_NTP_bind domain-containing protein","Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)","K03B4.1 | WBGene00019353",80.7692,"CBG08796 | WBGene00030527",77.4359,"CBN28494 | WBGene00190459",82.5641,"CRE18573 | WBGene00058015",82.3077
"82","WBGene00119668",0,0,0,0,0,"Cjp-ced-1","CJA00464","EGF-like domain-containing protein","EGF-like domain, Laminin-type EGF domain, EMI domain, MEGF10/SREC1/2-like","ced-1 | WBGene00000415",69.7717,"Cbr-ced-1 | WBGene00035967",69.9543,"Cbn-ced-1 | WBGene00157196",72.3288,"Cre-ced-1 | WBGene00055940",72.0548
"83","WBGene00119669",0,0,0,0,0,"CJA00465","CJA00465","Saposin B-type domain-containing protein","Saposin B type domain, Saposin-like",NA,NA,NA,NA,NA,NA,NA,NA
"84","WBGene00119687",0,0,0,0,0,"CJA00483","CJA00483","ERAP1_C domain-containing protein","ERAP1-like C-terminal domain, ",NA,NA,NA,NA,NA,NA,"CRE18001 | WBGene00085259",38.7543
"85","WBGene00119698",0,0,0,0,0,"Cjp-eor-1","CJA00494","Reverse transcriptase domain-containing protein","BTB/POZ domain, SKP1/BTB/POZ domain superfamily, BTB/Kelch-associated, Zinc finger C2H2-type, Zinc finger C2H2 superfamily, Reverse transcriptase domain, Peptidase S9, prolyl oligopeptidase, catalytic domain, Alpha/Beta hydrolase fold, DNA/RNA polymerase superfamily, Acylamino-acid-releasing enzyme, N-terminal domain","dpf-5 | WBGene00001058",23.2114,"Cbr-dpf-5 | WBGene00032741",21.0814,"Cbn-dpf-5.2 | WBGene00161354",22.7744,"Cre-dpf-5.2 | WBGene00069210",20.0437
"86","WBGene00119701",0.064283204026597,0,0.0609681411588056,0,0.184237974541751,"CJA00497","CJA00497","NR LBD domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"87","WBGene00119704",0.128566408053194,0.120807620689682,0,0,0,"CJA00500","CJA00500","CX domain-containing protein","Domain of unknown function CX","Y60C6A.1 | WBGene00022013",21.0784,"CBG08815 | WBGene00030542",20.5882,"CBN09668 | WBGene00148393",18.1373,"CRE18589 | WBGene00057998",23.5294
"88","WBGene00119705",0.578548836239373,0.120807620689682,0.0609681411588056,0,0,"Cjp-rgs-1","CJA00501","RGS domain-containing protein","RGS domain, RGS, subdomain 1/3, RGS domain superfamily, RGS, subdomain 2","rgs-1 | WBGene00004344",71.4286,"Cbr-rgs-1 | WBGene00031423",71.4286,"Cbn-rgs-1 | WBGene00142203",72.0238,"Cre-rgs-1 | WBGene00085237",70.8333
"89","WBGene00119713",0.192849612079791,0.241615241379364,0.0609681411588056,0,0.368475949083502,"CJA00509","CJA00509","TLC domain-containing protein","TRAM/LAG1/CLN8 homology domain, Sphingosine N-acyltransferase Lag1/Lac1-like","lagr-1 | WBGene00006505",89.5161,"Cbr-lagr-1 | WBGene00034374",91.9355,"CBN29855 | WBGene00191820",92.7419,"Cre-lagr-1 | WBGene00056121",90.3226
"90","WBGene00119718",0,0,0,0,0,"Cjp-ugt-53","CJA00514","glucuronosyltransferase","UDP-glucuronosyl/UDP-glucosyltransferase","ugt-53 | WBGene00020182",57.8652,"Cbr-ugt-53 | WBGene00033881",60.3933,"Cbn-ugt-53 | WBGene00148000",42.4157,"Cre-ugt-53 | WBGene00054375",61.5169
"91","WBGene00119723",0,0,0,0,0,"Cjp-gcy-22","CJA00518","Guanylate cyclase","Protein kinase domain, Adenylyl cyclase class-3/4/guanylyl cyclase, Serine-threonine/tyrosine-protein kinase, catalytic domain, Receptor, ligand binding region, Protein kinase-like domain superfamily, Haem NO binding associated, Adenylyl cyclase class-4/guanylyl cyclase, conserved site, Periplasmic binding protein-like I, Nucleotide cyclase","gcy-22 | WBGene00001547",86.5023,"Cbr-gcy-22 | WBGene00027989",87.0892,"Cbn-gcy-22 | WBGene00157170",88.4977,"Cre-gcy-22 | WBGene00063561",87.3239
"92","WBGene00119744",0,0,0,0,0,"CJA00542","CJA00542","WAC domain-containing protein","Ribonuclease H superfamily",NA,NA,NA,NA,"CBN32086 | WBGene00194051",37.2694,"CRE02904 | WBGene00078023",12.5461
"93","WBGene00119748",0,0,0,0,0,"Cjp-amt-2","CJA00544","Ammonium_transp domain-containing protein","Ammonium transporter AmtB-like domain, Ammonium/urea transporter","amt-2 | WBGene00000134",84.1176,"Cbr-amt-2 | WBGene00042212",85.2941,"Cbn-amt-2 | WBGene00141620",86.8627,"Cre-amt-2 | WBGene00062709",87.0588
"94","WBGene00119770",0,0,0,0,0,"CJA00566","CJA00566","Protein arginine methyltransferase NDUFAF7","Protein arginine methyltransferase NDUFAF7, S-adenosyl-L-methionine-dependent methyltransferase superfamily, Protein arginine methyltransferase NDUFAF7 superfamily","ZK1128.1 | WBGene00014227",69.3431,"CBG09880 | WBGene00031393",69.3431,"CBN06610 | WBGene00145335",67.8832,"CRE25213 | WBGene00054945",69.3431
